LEVEL,40,22
M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
M,P,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,B,B,B,B,B,B,V,R,S,M,
M,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,B,B,V,D,V,B,B,B,B,B,B,V,B,B,M,
M,B,B,B,B,B,B,B,B,R,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,E,V,V,B,B,B,B,B,B,E,V,V,M,
M,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,E,V,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,R,B,B,B,B,M,
M,D,V,R,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,R,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,R,M,
M,B,V,B,B,B,B,R,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,D,M,
M,V,V,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,M,
M,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B,B,M,
M,B,B,B,R,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,B,D,B,B,R,B,B,B,V,D,V,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,M,
M,B,B,B,B,B,B,B,B,B,B,E,V,V,B,B,B,B,B,D,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,R,B,B,B,B,B,B,B,V,B,V,B,B,B,B,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,M,
M,B,B,D,B,B,B,B,B,B,B,V,V,V,B,B,B,B,B,B,B,B,R,B,B,B,B,B,B,B,B,B,R,B,B,B,B,D,B,M,
M,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,B,B,B,V,B,R,B,B,R,B,B,M,
M,B,B,B,B,R,B,B,B,B,B,V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,V,V,E,V,V,B,B,R,B,B,B,B,M,
M,B,B,B,B,B,B,B,B,B,B,V,R,D,R,V,B,B,B,B,B,B,B,B,B,R,B,V,R,D,R,V,B,B,B,B,B,B,B,M,
M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
DIAMOND,10
TIME,120
